Coordinates,County,State,Latitude,Longitude,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,ZIP,Population (2020 census),Area (mi^2),Density (Population/mi^2),"Total Population Change, Annual Change, July 1, 2021 to July 1, 2022","Total Population Change, Cumulative Change, April 1, 2020 to July 1, 2022",Population Change Percent 2021-2022,"Assault crimes per 1,000","Robbery crimes per 1,000","Rape crimes per 1,000","Murder crimes per 1,000","Theft crimes per 1,000","Vehicle_Theft crimes per 1,000","Burglary crimes per 1,000","Arson crimes per 1,000","Kidnapping crimes per 1,000","Drug_Crimes crimes per 1,000","Vandalism crimes per 1,000","Identity_Theft crimes per 1,000","Animal_Cruelty crimes per 1,000","Total_Violent_Crime_Value crimes per 1,000",Total_Violent_Crime_Grade,"Total_Property_Crime_Value crimes per 1,000",Total_Property_Crime_Grade,Total_Other_Rate_Value,Total_Other_Rate_Grade,Median Home Price Q1 2023,Monthly Payment Q1 2023,Monthly Payment Q1 2022,Percent Change in Monthly Payment,Average_S8_Rent,S8 rent - Mortgage Payment,Landlord Friendly,Investment_Score,Investment Rank,S8 rent - Mortgage Payment_log_transformed,"Total_Violent_Crime_Value crimes per 1,000_log_transformed",Population (2020 census)_log_transformed
"32.5349201866, -86.642749235",Autauga County,AL,32.53492019,-86.64274924,716,817,977,1241,1595,36003,58805,594.44,98.925,549,957,0.934,6.31,1.136,0.4284,0.0638,24.88,0.4465,7.148,0.0593,0.1972,1.642,11.09,0.8667,0.056,7.938,D,32.54,D+,13.85,C+,208359,1169,815,43.436,1069.2,-99.8,Landlord Friendly,8.705558025,432,8.619641471,2.249606168,10.98649539
"30.6609696648, -87.7498400784",Baldwin County,AL,30.66096966,-87.74984008,924,928,1206,1534,1971,36550,231767,1589.78,145.786,7074,14674,3.052,6.425,1.441,0.4223,0.0751,9.217,1.476,6.783,0.0847,0.5835,9.157,6.482,1.094,0.1577,8.364,D-,17.56,B+,17.48,C-,338870,1902,1320,44.091,1312.6,-589.4,Landlord Friendly,8.374824387,784,8.527103918,2.293544348,12.35463488
"31.8696032448, -85.3931969755",Barbour County,AL,31.86960324,-85.39319698,558,562,740,941,994,36017,25223,884.88,28.504,167,-518,0.662,10.97,0.9517,0.4407,0.0578,6.995,0.6834,12.46,0.1012,0.1511,7.44,16.17,0.7503,0.1071,12.42,F,20.24,B-,24.62,D-,118565,665,442,50.452,759,94,Landlord Friendly,8.865915437,221,8.654029118,2.636625804,10.14600227
"32.9986442965, -87.1264391014",Bibb County,AL,32.9986443,-87.1264391,866,942,1075,1376,1494,35035,22293,622.58,35.807,-365,-295,-1.637,2.983,0.8583,0.4105,0.0557,9.221,1.816,5.492,0.0867,0.1767,2.576,5.745,1.008,0.0026,4.307,B+,16.62,B+,9.508,B+,132725,745,493,51.116,1150.6,405.6,Landlord Friendly,9.016851405,71,8.706953677,1.76695435,10.02388938
"33.9808673856, -86.5673709608",Blount County,AL,33.98086739,-86.56737096,866,942,1075,1376,1494,35031,59134,644.78,91.712,427,382,0.722,5.003,0.9498,0.3966,0.0513,12.73,0.5346,7.334,0.0915,0.1489,1.586,8.547,0.7488,0.0123,6.401,C-,20.69,B-,11.04,B,178127,1000,691,44.718,1150.6,150.6,Landlord Friendly,8.915899371,160,8.663853028,2.072794499,10.99204951
"32.1005542205, -85.7156972254",Bullock County,AL,32.10055422,-85.71569723,620,631,820,999,1229,36830,10357,622.8,16.63,-78,-160,-0.753,3.272,0.8772,0.3963,0.0595,10.05,0.6007,4.681,0.1112,0.1686,6.054,7.399,0.7828,0.0431,4.605,B,15.44,A-,14.45,C+,96176,540,382,41.361,859.8,319.8,Landlord Friendly,9.016689785,72,8.692657961,1.81661467,9.270776741
"31.7524339429, -86.6802892154",Butler County,AL,31.75243394,-86.68028922,576,664,761,926,1022,36037,19051,776.83,24.524,-205,-405,-1.076,3.769,1.285,0.4139,0.0767,12.34,0.4341,9.103,0.0474,0.156,0.6908,11.19,0.783,0.1294,5.544,C+,21.92,C+,12.95,B-,123864,695,501,38.723,789.8,94.8,Landlord Friendly,8.802772873,310,8.654168646,1.958685341,9.868740816
"33.7714324565, -85.8260308543",Calhoun County,AL,33.77143246,-85.82603085,605,609,802,1088,1178,36206,116441,605.87,192.188,111,-656,0.095,8.826,0.9278,0.4044,0.0685,12.61,0.3904,9.074,0.0782,0.1825,2.017,17.79,1.375,0.039,10.23,F,22.15,C+,21.41,D,191741,1076,614,75.244,856.4,-219.6,Landlord Friendly,8.58150928,565,8.597777291,2.466063562,11.6674218
"32.9143722298, -85.3920429513",Chambers County,AL,32.91437223,-85.39204295,688,692,911,1109,1224,36852,34772,596.53,58.29,-358,-686,-1.03,2.342,0.8879,0.3941,0.0546,10.03,0.7122,7.845,0.0605,0.1523,5.999,10.37,0.7943,0.0589,3.678,A,18.65,B,17.37,C-,141748,795,530,50,924.8,129.8,Landlord Friendly,8.835806406,260,8.660254034,1.653263392,10.46418847
"34.1759559677, -85.6037937156",Cherokee County,AL,34.17595597,-85.60379372,574,584,759,959,1097,35973,24971,553.7,45.098,276,323,1.105,3.404,0.8695,0.4603,0.0511,18.49,0.436,8.373,0.063,0.1457,3.909,7.042,0.7478,0.0046,4.784,B,27.36,C-,11.85,B-,186789,1048,708,48.023,794.6,-253.4,Landlord Friendly,8.615795897,521,8.591521139,1.845300236,10.13606645
"32.847853212, -86.718813672",Chilton County,AL,32.84785321,-86.71881367,617,634,755,1036,1040,36006,45014,692.85,64.969,625,875,1.388,3.15,0.9328,0.4054,0.0582,14.21,1.505,5.592,0.0507,0.338,1.92,6.062,0.7425,0.0342,4.546,B,21.36,B-,9.096,B+,151298,849,534,58.989,816.4,-32.6,Landlord Friendly,8.831613803,264,8.631699754,1.806976435,10.72062071
"32.0196107831, -88.2632012743",Choctaw County,AL,32.01961078,-88.26320127,560,562,740,921,1260,36908,12665,913.5,13.864,-110,-224,-0.869,8.48,1.037,0.4261,0.0721,21.9,0.626,7.027,0.0413,1.4,5.571,28.31,0.8212,0.0402,10.02,F,29.59,C-,36.14,F,105715,593,388,52.835,808.6,215.6,Landlord Friendly,8.895292095,189,8.675017117,2.44806976,9.467382808
"31.6766595802, -87.8308098507",Clarke County,AL,31.67665958,-87.83080985,560,573,740,1052,1260,36436,23087,1238.46,18.642,-200,-572,-0.866,6.651,1.288,0.4256,0.0766,111.5,0.7063,11.13,0.0445,0.2989,1.126,11.04,0.8859,0.2075,8.441,D-,123.4,F,13.56,C+,150623,845,545,55.046,837,-8,Landlord Friendly,8.701745346,436,8.636077842,2.301284247,10.05848073
"33.2690858673, -85.8605470841",Clay County,AL,33.26908587,-85.86054708,520,626,740,1001,1154,36251,14236,603.96,23.571,8,-39,0.056,5.068,0.8013,0.4093,0.0566,13.64,1.496,9.055,0.0946,0.7881,1.055,12.43,0.7421,0.004,6.335,C-,24.28,C,15.02,C,162149,910,593,53.457,808.2,-101.8,Landlord Friendly,8.681620273,455,8.619280355,2.064454799,9.58204185
"33.6745577167, -85.5187680028",Cleburne County,AL,33.67455772,-85.518768,561,594,741,966,1110,36273,15056,560.1,26.881,198,289,1.315,2.777,0.8376,0.414,0.0539,13.59,0.4316,5.635,0.094,0.1886,6.756,7.826,0.8887,0.0047,4.083,A-,19.75,B-,15.66,C,154333,866,606,42.904,794.4,-71.6,Landlord Friendly,8.790498494,335,8.62471936,1.727931806,9.637044983
"31.4026271796, -85.9882069262",Coffee County,AL,31.40262718,-85.98820693,607,625,803,1141,1250,36322,53465,678.97,78.744,634,1345,1.186,5.539,0.9706,0.4178,0.0604,10.58,0.5666,7.301,0.0725,0.5461,4.776,12.03,0.7901,0.0072,6.988,D+,18.52,B,18.15,D+,208912,1172,785,49.299,885.2,-286.8,Landlord Friendly,8.575159137,573,8.585300337,2.144058185,10.8917454
"34.7004337984, -87.8049852867",Colbert County,AL,34.7004338,-87.80498529,574,617,811,1000,1249,35616,57227,592.62,96.566,414,801,0.723,4.218,1.071,0.4116,0.0566,9.222,0.7527,8.25,0.0305,0.2459,1.725,8.021,0.9152,0.0053,5.757,C,18.26,B,10.91,B,186702,1048,667,57.121,850.2,-197.8,Landlord Friendly,8.642338217,496,8.60179166,1.988285223,10.95941848
"31.4292715445, -86.9936742092",Conecuh County,AL,31.42927154,-86.99367421,560,655,740,1008,1109,36471,11597,850.16,13.641,-114,-391,-0.983,10.24,0.7282,0.4591,0.0821,56.2,0.6651,10.48,0.0607,0.9524,4.47,8.27,0.8781,0.2191,11.51,F,67.41,F,14.79,C,109689,616,429,43.59,814.4,198.4,Landlord Friendly,8.865397029,222,8.672075032,2.569247798,9.381179592
"32.9362268304, -86.2476592648",Coosa County,AL,32.93622683,-86.24765926,579,589,766,932,1148,35151,10387,650.93,15.957,-200,-216,-1.925,1.914,0.9168,0.4033,0.0686,8.002,0.6354,7.689,0.0722,0.1465,1.96,16.42,0.765,0.0134,3.303,A+,16.4,A-,19.3,D+,127043,713,456,56.36,802.8,89.8,Landlord Friendly,8.760356568,377,8.653296274,1.578772498,9.273596822
"31.2484923988, -86.4512425439",Covington County,AL,31.2484924,-86.45124254,558,562,740,986,1214,36420,37570,1030.46,36.459,60,35,0.16,3.593,0.7509,0.4117,0.0601,13.96,0.4949,9.333,0.0673,0.2251,3.952,8.633,0.7742,0.0036,4.815,B-,23.86,C+,13.59,C+,148239,832,509,63.458,812,-20,Landlord Friendly,8.771512758,364,8.633944584,1.850185598,10.54101631
"31.7315001844, -86.3135388959",Crenshaw County,AL,31.73150018,-86.3135389,560,562,740,901,994,36037,13194,608.84,21.671,-31,-172,-0.235,3.769,1.285,0.4139,0.0767,12.34,0.4341,9.103,0.0474,0.156,0.6908,11.19,0.783,0.1294,5.544,C+,21.92,C+,12.95,B-,113663,638,431,48.028,751.4,113.4,Landlord Friendly,8.868621517,219,8.657407206,1.958685341,9.507477603
"34.1319410705, -86.8676194614",Cullman County,AL,34.13194107,-86.86761946,627,655,815,1097,1125,35057,87866,734.84,119.572,1047,2808,1.192,2.574,0.8967,0.3918,0.0513,13.52,0.5715,5.815,0.0693,0.1821,1.22,4.905,0.7472,0.0043,3.914,A,19.98,B-,7.059,A,219775,1233,719,71.488,863.8,-369.2,Landlord Friendly,8.527782721,623,8.569785642,1.69744879,11.38659097
"31.4318270699, -85.6110368183",Dale County,AL,31.43182707,-85.61103682,633,636,740,1052,1260,36322,49326,561.15,87.902,132,225,0.268,5.539,0.9706,0.4178,0.0604,10.58,0.5666,7.301,0.0725,0.5461,4.776,12.03,0.7901,0.0072,6.988,D+,18.52,B,18.15,D+,149564,839,581,44.406,864.2,25.2,Landlord Friendly,8.807470187,304,8.641956254,2.144058185,10.81158481
"32.325973709, -87.1064763258",Dallas County,AL,32.32597371,-87.10647633,597,600,790,961,1061,36761,38462,978.69,39.299,-798,-1696,-2.075,6.917,4.072,0.4673,0.2314,169.1,1.021,13.37,0.2147,0.4049,4.057,14.9,1.927,0.1789,11.69,F,183.7,F,21.46,D,113133,635,430,47.674,801.8,166.8,Landlord Friendly,8.783800355,344,8.666647145,2.58294039,10.56431813
"34.4597729557, -85.8041426436",DeKalb County,AL,34.45977296,-85.80414264,560,579,740,1015,1153,35962,71608,777.09,92.149,169,387,0.236,1.959,0.6632,0.3946,0.0514,11.09,1.364,9.427,0.0878,0.1817,1.276,12.35,0.74,0.0046,3.068,A+,21.97,C+,14.56,C+,147179,826,528,56.439,809.4,-16.6,Landlord Friendly,8.797350512,323,8.634549469,1.52909516,11.18266986
"32.5966480504, -86.1491465307",Elmore County,AL,32.59664805,-86.14914653,716,817,977,1241,1595,35010,87977,618.48,142.247,826,1589,0.939,4.744,0.9708,0.408,0.0617,11.53,0.6447,8.595,0.0458,0.2115,1.877,10.06,0.8599,0.0588,6.185,C-,20.82,B-,13.07,B-,244622,1373,912,50.548,1069.2,-303.8,Landlord Friendly,8.539936268,602,8.582119137,2.04523822,11.38784965
